Name,Regional,geometry
ORLA 01,PAMPULHA,POINT Z (-43.98143846460125 -19.86118110665846 0)
ORLA XXXX,PAMPULHA,POINT Z (-43.98190293242187 -19.86220776331117 0)
ORLA 04,PAMPULHA,POINT Z (-43.97959571582621 -19.85893247122667 0)
ORLA X,PAMPULHA,POINT Z (-43.97319866988443 -19.85095771412409 0)
ORLA 25,PAMPULHA,POINT Z (-43.97958962131614 -19.85892997818434 0)
ORLA 21,PAMPULHA,POINT Z (-44.00548322540121 -19.85485278941588 0)
ORLA 22,PAMPULHA,POINT Z (-44.00548322540121 -19.85485278941588 0)
ORLA XXXXX,PAMPULHA,POINT Z (-43.98161445175349 -19.85986907439618 0)
2250 1 - PC RUI BARBOSA,CENTRO-SUL,POINT Z (-43.93445313811694 -19.91764721376002 0)
CAM30 (SAPUCAI - PC ESTACAO),CENTRO-SUL,POINT Z (-43.93215823217681 -19.9158913450151 0)
SLU01,PAMPULHA,POINT Z (-43.9960720577914 -19.89976390789744 0)
SLU02,PAMPULHA,POINT Z (-43.993384839459 -19.873798920522 0)
SLU03,PAMPULHA,POINT Z (-43.99583869117773 -19.83341679890388 0)
SLU04,PAMPULHA,POINT Z (-43.93656159412071 -19.8575813371494 0)
SLU05,PAMPULHA,POINT Z (-43.95537527802662 -19.8657411628351 0)
SLU06,PAMPULHA,POINT Z (-43.97182004859887 -19.83690814686208 0)
SLU07,BARREIRO,POINT Z (-44.0283810395677 -19.9761390313035 0)
SLU08,BARREIRO,POINT Z (-44.00157948531452 -19.99964454899504 0)
SLU09,BARREIRO,POINT Z (-44.03600443795709 -20.00432109640728 0)
SLU10,BARREIRO,POINT Z (-44.05179927137648 -19.98497249368048 0)
SLU11,BARREIRO,POINT Z (-43.9998972214758 -19.9824500170621 0)
SLU12,BARREIRO,POINT Z (-44.04631147659868 -19.98407319210494 0)
SLU13,CENTRO-SUL,POINT Z (-43.90758202325023 -19.93137041077043 0)
SLU14,CENTRO-SUL,POINT Z (-43.94603205104767 -19.9510324229398 0)
SLU15,LESTE,POINT Z (-43.90682557891123 -19.9014173927491 0)
SLU16,NORDESTE,POINT Z (-43.86747447020121 -19.8305796834174 0)
SLU17,NORDESTE,POINT Z (-43.91927515193145 -19.85378588564168 0)
SLU18,NORDESTE,POINT Z (-43.92710154922634 -19.86960154743138 0)
SLU19,NOROESTE,POINT Z (-43.96214509318461 -19.89834927395708 0)
SLU20,NOROESTE,POINT Z (-43.9938665184069 -19.92936372758942 0)
SLU21,NOROESTE,POINT Z (-44.01521663192085 -19.9099161935252 0)
SLU22,NORTE,POINT Z (-43.9440419480619 -19.84873965734874 0)
SLU23,NORTE,POINT Z (-43.94765263878053 -19.82998355838013 0)
SLU24,NORTE,POINT Z (-43.93201568256724 -19.80910612359561 0)
SLU25,NORTE,POINT Z (-43.93596238570245 -19.82174482688196 0)
SLU26,NORTE,POINT Z (-43.91999581306665 -19.84214210811514 0)
SLU27,OESTE,POINT Z (-43.97266970220253 -19.93734045894497 0)
SLU27,OESTE,POINT Z (-43.97266970220253 -19.93734045894497 0)
SLU28,OESTE,POINT Z (-43.98447023321007 -19.9491675666959 0)
SLU29,OESTE,POINT Z (-43.97397247199984 -19.9230795692409 0)
SLU30,OESTE,POINT Z (-44.00175619594228 -19.95724701330437 0)
SLU31,VENDA NOVA,POINT Z (-44.00177752916341 -19.81503174198608 0)
SLU32,VENDA NOVA,POINT Z (-43.987171632906 -19.81877538764921 0)
SLU33,VENDA NOVA,POINT Z (-43.96550764414883 -19.82128273549753 0)
SLU34,VENDA NOVA,POINT Z (-43.97677933102383 -19.80241846559838 0)
SLU35,LESTE,POINT Z (-43.88885759032603 -19.90464113307099 0)
C01119,CENTRO-SUL,POINT Z (-43.91965174625747 -19.92299402415598 0)
C01120,CENTRO-SUL,POINT Z (-43.91950934481343 -19.92342590232999 0)
C01121,CENTRO-SUL,POINT Z (-43.92011660315056 -19.92327888462064 0)
C01002,CENTRO-SUL,POINT Z (-43.94078970262083 -19.91355060900141 0)
C01003,CENTRO-SUL,POINT Z (-43.93981369393137 -19.9135666132727 0)
C01004,CENTRO-SUL,POINT Z (-43.94361720776818 -19.91415634876245 0)
C01005,CENTRO-SUL,POINT Z (-43.94121514252837 -19.91495857408525 0)
C01006,CENTRO-SUL,POINT Z (-43.94026634760688 -19.9152634190731 0)
C01007,CENTRO-SUL,POINT Z (-43.9421955636356 -19.91568547246564 0)
C01008,CENTRO-SUL,POINT Z (-43.94141095299042 -19.91589597244321 0)
C01009,CENTRO-SUL,POINT Z (-43.94049755353201 -19.91611026799704 0)
C01010,CENTRO-SUL,POINT Z (-43.933962 -19.914876 0)
C01011,CENTRO-SUL,POINT Z (-43.93878236855542 -19.91483616918568 0)
C01012,CENTRO-SUL,POINT Z (-43.93761296851272 -19.91513066997728 0)
C01013,CENTRO-SUL,POINT Z (-43.93615232323809 -19.91535718692576 0)
C01014,CENTRO-SUL,POINT Z (-43.93767643252436 -19.91589306951919 0)
C01015,CENTRO-SUL,POINT Z (-43.93636488484196 -19.91621545132405 0)
C01016,CENTRO-SUL,POINT Z (-43.93360801171687 -19.91690418069833 0)
C01017,CENTRO-SUL,POINT Z (-43.93790764277044 -19.91673605188292 0)
