origem;data_hora;mes_ano;trimestre_ano;endereco;regional;ano;Geometry;trimestre
V.TAL;2024-04-04 05:11:36;ABRIL/2024;02/2024;RUA PAULO EMILIO PINTO 80, CEU AZUL;VENDA NOVA;2024;POINT (-43.92199808 -19.9300591);2
V.TAL;2024-04-04 05:11:36;ABRIL/2024;02/2024;RUA PAULO EMILIO PINTO 80, CEU AZUL;VENDA NOVA;2024;POINT (-43.9911241 -19.8927872);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA CORDELINA SILVEIRA MATOS 35, ESTORIL;OESTE;2024;POINT (-43.9968605 -19.989181);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA ANTONIO ALEIXO 164, LOURDES;CENTRO-SUL;2024;POINT (-43.9567794 -19.8569983);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA COSTA RICA 295, SION;CENTRO-SUL;2024;POINT (-43.9567794 -19.8569983);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA ANTONIO ALEIXO 164, LOURDES;CENTRO-SUL;2024;POINT (-43.94385791 -19.90328645);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA COSTA RICA 295, SION;CENTRO-SUL;2024;POINT (-43.94385791 -19.90328645);2
VIVO;2024-04-05 00:00:00;ABRIL/2024;02/2024;RUA CORDELINA SILVEIRA MATOS 35, ESTORIL;OESTE;2024;POINT (-44.02669278 -19.98196885);2
V.TAL;2024-04-05 00:35:28;ABRIL/2024;02/2024;RUA MONTE SIAO 161, SERRA;CENTRO-SUL;2024;POINT (-43.9785395 -19.8154751);2
V.TAL;2024-04-05 00:35:28;ABRIL/2024;02/2024;RUA MONTE SIAO 161, SERRA;CENTRO-SUL;2024;POINT (-43.97561124 -19.9601681);2
CLARO;2024-04-05 01:37:00;ABRIL/2024;02/2024;AVENIDA ANTONIO ABRAHAO CARAM 616, SAO JOSE;PAMPULHA;2024;POINT (-43.9785395 -19.8154751);2
CLARO;2024-04-05 01:37:00;ABRIL/2024;02/2024;AVENIDA ANTONIO ABRAHAO CARAM 616, SAO JOSE;PAMPULHA;2024;POINT (-43.97561124 -19.9601681);2
SICOP;2024-04-05 01:37:00;ABRIL/2024;02/2024;AVENIDA ANTONIO ABRAHAO CARAM 656, São José;PAMPULHA;2024;POINT (-43.9498994417065 -19.9243970058701);2
V.TAL;2024-04-05 02:18:00;ABRIL/2024;02/2024;RODOVIA MG CINCO 825, GOIANIA;NORDESTE;2024;POINT (-43.9706669 -19.8223967);2
V.TAL;2024-04-05 02:18:00;ABRIL/2024;02/2024;RODOVIA MG CINCO 825, GOIANIA;NORDESTE;2024;POINT (-43.9212629048553 -19.9304381220151);2
V.TAL;2024-04-05 03:08:00;ABRIL/2024;02/2024;AVENIDA DOUTOR ARY FERREIRA 293, SAO BENTO;CENTRO-SUL;2024;POINT (-43.9706669 -19.8223967);2
V.TAL;2024-04-05 03:08:00;ABRIL/2024;02/2024;AVENIDA DOUTOR ARY FERREIRA 293, SAO BENTO;CENTRO-SUL;2024;POINT (-44.02308525 -19.9807363);2
V.TAL;2024-04-05 03:12:25;ABRIL/2024;02/2024;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO 2387, SAO GABRIEL;NORDESTE;2024;POINT (-43.9504161 -19.8770484);2
V.TAL;2024-04-05 03:12:25;ABRIL/2024;02/2024;RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO 2387, SAO GABRIEL;NORDESTE;2024;POINT (-43.97561124 -19.9601681);2
CLARO;2024-04-05 07:18:00;ABRIL/2024;02/2024;RUA DORESOPOLIS 875, SAO PAULO;NORDESTE;2024;POINT (-44.02308525 -19.9807363);2
CLARO;2024-04-05 07:18:00;ABRIL/2024;02/2024;RUA DORESOPOLIS 875, SAO PAULO;NORDESTE;2024;POINT (-43.9574482 -19.8576648);2
OI;2024-04-05 10:01:32;ABRIL/2024;02/2024;AVENIDA PORTUGAL 2381, ITAPOA;PAMPULHA;2024;POINT (-43.9574482 -19.8576648);2
OI;2024-04-05 10:01:32;ABRIL/2024;02/2024;AVENIDA PORTUGAL 2381, ITAPOA;PAMPULHA;2024;POINT (-44.0028516 -19.93611277);2
V.TAL;2024-04-06 00:31:00;ABRIL/2024;02/2024;RUA DESEMBARGADOR MARIO MATTOS 590, SERRA;CENTRO-SUL;2024;POINT (-43.9968605 -19.989181);2
V.TAL;2024-04-06 00:31:00;ABRIL/2024;02/2024;RUA DESEMBARGADOR MARIO MATTOS 590, SERRA;CENTRO-SUL;2024;POINT (-44.02669278 -19.98196885);2
V.TAL;2024-04-06 01:09:00;ABRIL/2024;02/2024;RUA MOMBACA 260, SAO GABRIEL;NORDESTE;2024;POINT (-43.9141431262968 -19.9209780966764);2
V.TAL;2024-04-06 01:09:00;ABRIL/2024;02/2024;RUA MOMBACA 260, SAO GABRIEL;NORDESTE;2024;POINT (-43.9562413 -19.8570648);2
V.TAL;2024-04-06 02:09:00;ABRIL/2024;02/2024;AVENIDA GENERAL ASTOLFO FERREIRA MENDES 390, SAO GABRIEL;NORDESTE;2024;POINT (-43.9562413 -19.8570648);2
V.TAL;2024-04-06 02:09:00;ABRIL/2024;02/2024;AVENIDA GENERAL ASTOLFO FERREIRA MENDES 390, SAO GABRIEL;NORDESTE;2024;POINT (-43.914270933743 -19.9209789701303);2
CLARO;2024-04-06 03:50:00;ABRIL/2024;02/2024;RUA MARCONE SILVA SOARES 100, BETANIA;OESTE;2024;POINT (-43.9193129 -19.8685007);2
CLARO;2024-04-06 03:50:00;ABRIL/2024;02/2024;RUA MARCONE SILVA SOARES 100, BETANIA;OESTE;2024;POINT (-43.93546051 -19.91716019);2
SICOP;2024-04-06 03:50:00;ABRIL/2024;02/2024;RUA MARCONE SILVA SOARES 100, Betânia;OESTE;2024;POINT (-43.9577557250172 -19.9246597829633);2
V.TAL;2024-04-06 04:18:00;ABRIL/2024;02/2024;RUA DO SERRO 111, BONFIM;NOROESTE;2024;POINT (-43.93546051 -19.91716019);2
V.TAL;2024-04-06 04:18:00;ABRIL/2024;02/2024;RUA DO SERRO 111, BONFIM;NOROESTE;2024;POINT (-43.9193129 -19.8685007);2
CLARO;2024-04-06 06:19:00;ABRIL/2024;02/2024;RUA MAJOR DELFINO DE PAULA 2500, SAO FRANCISCO;PAMPULHA;2024;POINT (-43.9056238600673 -19.9013182341523);2
CLARO;2024-04-06 06:19:00;ABRIL/2024;02/2024;RUA MAJOR DELFINO DE PAULA 2500, SAO FRANCISCO;PAMPULHA;2024;POINT (-44.01953119 -19.98686877);2
SICOP;2024-04-06 06:19:00;ABRIL/2024;02/2024;RUA APORE 227, Aparecida;NOROESTE;2024;POINT (-43.9569874726135 -19.9213177324815);2
CLARO;2024-04-06 22:18:00;ABRIL/2024;02/2024;AVENIDA PERIMETRAL 771, PETROPOLIS;BARREIRO;2024;POINT (-43.9511772992727 -19.8807812914215);2
SICOP;2024-04-06 22:18:00;ABRIL/2024;02/2024;RUA BOAVENTURA 771, Indaiá;PAMPULHA;2024;POINT (-43.9349474021307 -19.9313594450263);2
CLARO;2024-04-06 22:18:00;ABRIL/2024;02/2024;AVENIDA PERIMETRAL 771, PETROPOLIS;BARREIRO;2024;POINT (-44.01953119 -19.98686877);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA PAULO PIEDADE CAMPOS 632, ESTORIL;OESTE;2024;POINT (-43.93796651 -19.9047518);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA PAULO PIEDADE CAMPOS 632, ESTORIL;OESTE;2024;POINT (-43.9216776782017 -19.9431071611896);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA MANOEL COUTO 182, CIDADE JARDIM;CENTRO-SUL;2024;POINT (-43.9296647178026 -19.9561775281204);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA DOMINGOS FERNANDES 157, UNIAO;NORDESTE;2024;POINT (-43.9300071332976 -19.9567517626491);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA DOMINGOS FERNANDES 157, UNIAO;NORDESTE;2024;POINT (-43.92636397 -19.94010068);2
VIVO;2024-04-08 00:00:00;ABRIL/2024;02/2024;RUA MANOEL COUTO 182, CIDADE JARDIM;CENTRO-SUL;2024;POINT (-43.92636397 -19.94010068);2
SGO;2024-04-08 06:04:00;ABRIL/2024;02/2024;AVENIDA DOM PEDRO I 605, SANTA BRANCA;PAMPULHA;2024;POINT (-44.00584619 -20.01071862);2
SGO;2024-04-08 10:02:00;ABRIL/2024;02/2024;AVENIDA SANTOS DUMONT 734, CENTRO;CENTRO-SUL;2024;POINT (-44.00584619 -20.01071862);2
CLARO;2024-04-08 17:00:00;ABRIL/2024;02/2024;RUA JOSE ALVES DA SILVA 140, CAICARAS;NOROESTE;2024;POINT (-43.9073513461592 -19.9028318187878);2
CLARO;2024-04-08 17:00:00;ABRIL/2024;02/2024;RUA JOSE ALVES DA SILVA 140, CAICARAS;NOROESTE;2024;POINT (-43.93796651 -19.9047518);2
OI;2024-04-08 17:01:15;ABRIL/2024;02/2024;RUA BARAO DE COROMANDEL 630, BARREIRO;BARREIRO;2024;POINT (-43.9824805 -19.9568865);2
OI;2024-04-08 17:01:15;ABRIL/2024;02/2024;RUA BARAO DE COROMANDEL 630, BARREIRO;BARREIRO;2024;POINT (-43.9248015 -19.93564873);2
OI;2024-04-08 17:08:36;ABRIL/2024;02/2024;AVENIDA WALDYR SOEIRO EMRICH 0, OLARIA;BARREIRO;2024;POINT (-43.9824805 -19.9568865);2
OI;2024-04-08 17:08:36;ABRIL/2024;02/2024;AVENIDA WALDYR SOEIRO EMRICH 0, OLARIA;BARREIRO;2024;POINT (-43.9248015 -19.93564873);2
VIVO;2024-04-09 00:00:00;ABRIL/2024;02/2024;RUA TENENTE ANASTACIO DE MOURA 751, SANTA EFIGENIA;LESTE;2024;POINT (-43.9589743 -19.8608118);2
VIVO;2024-04-09 00:00:00;ABRIL/2024;02/2024;RUA TENENTE ANASTACIO DE MOURA 751, SANTA EFIGENIA;LESTE;2024;POINT (-43.93675599 -19.91270614);2
SICOP;2024-04-09 20:22:00;ABRIL/2024;02/2024;RUA VOLTS 7, Primeiro de Maio;NORTE;2024;POINT (-43.9541783441777 -19.9220140881104);2
CLARO;2024-04-10 00:40:00;ABRIL/2024;02/2024;RUA CANTAGALO 1272, APARECIDA;NOROESTE;2024;POINT (-43.93675599 -19.91270614);2
CLARO;2024-04-10 00:40:00;ABRIL/2024;02/2024;RUA CANTAGALO 1272, APARECIDA;NOROESTE;2024;POINT (-43.9589743 -19.8608118);2
SGO;2024-04-10 09:34:00;ABRIL/2024;02/2024;AVENIDA PROFESSOR MAGALHAES PENIDO 389, AEROPORTO;PAMPULHA;2024;POINT (-43.9357695 -19.87896311);2
OI;2024-04-10 09:46:30;ABRIL/2024;02/2024;RUA AGRELOS 300, VILA SAO PAULO;NORDESTE;2024;POINT (-43.98244809 -19.84627169);2
OI;2024-04-10 09:46:30;ABRIL/2024;02/2024;RUA AGRELOS 300, VILA SAO PAULO;NORDESTE;2024;POINT (-43.9441544 -19.9128608);2
VIVO;2024-04-11 00:00:00;ABRIL/2024;02/2024;RUA GRAO PARA 424, SANTA EFIGENIA;CENTRO-SUL;2024;POINT (-43.92805358 -19.90097676);2
VIVO;2024-04-11 00:00:00;ABRIL/2024;02/2024;AVENIDA SEBASTIAO DE BRITO 646, DONA CLARA;PAMPULHA;2024;POINT (-43.92805358 -19.90097676);2
VIVO;2024-04-11 00:00:00;ABRIL/2024;02/2024;RUA GRAO PARA 424, SANTA EFIGENIA;CENTRO-SUL;2024;POINT (-43.9441544 -19.9128608);2
VIVO;2024-04-11 00:00:00;ABRIL/2024;02/2024;AVENIDA SEBASTIAO DE BRITO 646, DONA CLARA;PAMPULHA;2024;POINT (-43.908461 -19.9086744);2
